year,county,meanRate,meanLabor,meanEmployed,meanUnemployed
2014,kings,7.633333333333334,1224525,1131175,93358.33333333333
2014,lewis,7.85,11925,10975,933.3333333333334
2014,livingston,5.791666666666667,31083.333333333332,29291.666666666668,1808.3333333333333
2014,madison,6.408333333333333,33558.333333333336,31425,2150
2014,monroe,5.8,366100,344908.3333333333,21208.333333333332
2014,montgomery,7.466666666666667,22358.333333333332,20700,1675
2014,nassau,4.775,688750,655875,32891.666666666664
2014,new york,6.125,913133.3333333334,857216.6666666666,55900
2014,niagara,7.016666666666667,101975,94825,7141.666666666667
2014,oneida,6.1,103641.66666666667,97300,6333.333333333333
2014,onondaga,5.566666666666666,225650,213100,12550
2014,ontario,5.225,55016.666666666664,52141.666666666664,2866.6666666666665
2014,orange,5.475,176208.33333333334,166516.66666666666,9650
2014,orleans,7.641666666666667,18116.666666666668,16741.666666666668,1391.6666666666667
2014,oswego,8.075,55291.666666666664,50841.666666666664,4475
2014,otsego,5.708333333333333,30133.333333333332,28416.666666666668,1716.6666666666667
2014,putnam,4.908333333333333,50491.666666666664,48008.333333333336,2483.3333333333335
2014,queens,6.366666666666667,1159333.3333333333,1085558.3333333333,73791.66666666667
2014,rensselaer,5.366666666666666,81500,77133.33333333333,4375
2014,richmond,7.441666666666666,221666.66666666666,205150,16491.666666666668
2014,rockland,5.15,150025,142291.66666666666,7725
2014,saratoga,4.658333333333333,116166.66666666667,110750,5425
2014,schenectady,5.35,76450,72325,4083.3333333333335
2014,schoharie,6.675,14800,13800,983.3333333333334
2014,schuyler,7.016666666666667,8641.666666666666,8041.666666666667,608.3333333333334
2014,seneca,5.625,15591.666666666666,14725,875
2014,st lawrence,7.733333333333333,47283.333333333336,43625,3666.6666666666665
2014,steuben,6.891666666666667,44283.333333333336,41241.666666666664,3050
2014,suffolk,5.391666666666667,769475,728091.6666666666,41383.333333333336
2014,sullivan,6.583333333333333,33408.333333333336,31241.666666666668,2191.6666666666665
2014,tioga,6.091666666666667,23891.666666666668,22433.333333333332,1450
2014,tompkins,4.383333333333334,55e3,52591.666666666664,2408.3333333333335
2014,ulster,5.708333333333333,88383.33333333333,83341.66666666667,5050
2014,warren,6.591666666666667,32450,30316.666666666668,2150
2014,washington,6.091666666666667,28683.333333333332,26950,1741.6666666666667
2014,wayne,6.158333333333333,44608.333333333336,41858.333333333336,2750
2014,westchester,5.141666666666667,472758.3333333333,448483.3333333333,24283.333333333332
2014,wyoming,6.533333333333333,18441.666666666668,17225,1200
2014,yates,5.65,11750,11083.333333333334,658.3333333333334
2015,albany,4.341666666666667,159391.66666666666,152450,6925
2015,allegany,6.491666666666667,20458.333333333332,19150,1333.3333333333333
2015,bronx,7.775,613191.6666666666,565491.6666666666,47675
2015,broome,5.95,87283.33333333333,82058.33333333333,5200
2015,cattaraugus,6.266666666666667,35408.333333333336,33183.333333333336,2233.3333333333335
2015,cayuga,5.341666666666667,37266.666666666664,35316.666666666664,2e3
2015,chautauqua,6.025,57941.666666666664,54433.333333333336,3500
2015,chemung,5.85,37683.333333333336,35466.666666666664,2225
2015,chenango,5.433333333333334,23208.333333333332,21950,1258.3333333333333
2015,clinton,5.816666666666666,36125,34016.666666666664,2100
2015,columbia,3.975,31600,30325,1283.3333333333333
2015,cortland,5.858333333333333,23400,22025,1383.3333333333333
2015,delaware,5.983333333333333,19616.666666666668,18441.666666666668,1183.3333333333333
2015,dutchess,4.491666666666667,144050,137600,6466.666666666667
2015,erie,5.308333333333334,451200,427191.6666666667,24e3
2015,essex,6.025,17391.666666666668,16358.333333333334,1050
2015,franklin,6.5,20091.666666666668,18783.333333333332,1300
2015,fulton,6.425,23575,22058.333333333332,1516.6666666666667
2015,genesee,4.958333333333333,30266.666666666668,28775,1491.6666666666667
2015,greene,5.616666666666667,20825,19666.666666666668,1166.6666666666667
2015,hamilton,6.908333333333333,2450,2291.6666666666665,158.33333333333334
2015,herkimer,6.216666666666667,28575,26808.333333333332,1766.6666666666667
2015,jefferson,6.616666666666666,46783.333333333336,43716.666666666664,3066.6666666666665
2015,kings,5.9,1229391.6666666667,1156900,72508.33333333333
2015,lewis,6.9,11833.333333333334,11025,825
2015,livingston,5.25,31425,29766.666666666668,1650
2015,madison,5.675,33083.333333333336,31208.333333333332,1866.6666666666667
2015,monroe,5.05,367516.6666666667,348941.6666666667,18600
2015,montgomery,6.558333333333334,22391.666666666668,20916.666666666668,1466.6666666666667
2015,nassau,4.225,701616.6666666666,672033.3333333334,29600
2015,new york,4.866666666666666,920916.6666666666,876133.3333333334,44800
2015,niagara,6.15,101708.33333333333,95458.33333333333,6258.333333333333
2015,oneida,5.325,102700,97233.33333333333,5458.333333333333
2015,onondaga,4.925,223741.66666666666,212741.66666666666,11008.333333333334
2015,ontario,4.725,55391.666666666664,52750,2591.6666666666665
2015,orange,4.658333333333333,179e3,170658.33333333334,8333.333333333334
2015,orleans,6.358333333333333,17958.333333333332,16833.333333333332,1133.3333333333333
2015,oswego,7.191666666666666,54333.333333333336,50441.666666666664,3891.6666666666665
2015,otsego,5.391666666666667,28866.666666666668,27308.333333333332,1550
2015,putnam,4.266666666666667,50900,48733.333333333336,2158.3333333333335
2015,queens,5.008333333333333,1171075,1112333.3333333333,58725
2015,rensselaer,4.633333333333333,82041.66666666667,78233.33333333333,3816.6666666666665
2015,richmond,5.825,222166.66666666666,209191.66666666666,12966.666666666666
2015,rockland,4.525,153066.66666666666,146150,6916.666666666667
2015,saratoga,4.1499999999999995,117566.66666666667,112658.33333333333,4875
2015,schenectady,4.7,76183.33333333333,72608.33333333333,3583.3333333333335
2015,schoharie,5.8,14750,13891.666666666666,866.6666666666666
2015,schuyler,6.616666666666666,8400,7825,550
2015,seneca,5.141666666666667,15808.333333333334,15008.333333333334,808.3333333333334
2015,st lawrence,7.283333333333333,44141.666666666664,40925,3216.6666666666665
2015,steuben,6.283333333333333,43958.333333333336,41200,2766.6666666666665
2015,suffolk,4.691666666666666,780616.6666666666,743908.3333333334,36725
2015,sullivan,5.416666666666667,33900,32075,1825
2015,tioga,5.55,23516.666666666668,22233.333333333332,1291.6666666666667
2015,tompkins,4.4,50716.666666666664,48491.666666666664,2216.6666666666665
2015,ulster,4.8,88850,84583.33333333333,4266.666666666667
2015,warren,5.541666666666667,32433.333333333332,30658.333333333332,1808.3333333333333
2015,washington,5.025,28816.666666666668,27375,1458.3333333333333
2015,wayne,5.333333333333333,44541.666666666664,42166.666666666664,2366.6666666666665
2015,westchester,4.533333333333333,481225,459375,21850
2015,wyoming,5.625,18475,17450,1050
2015,yates,4.966666666666667,11825,11225,591.6666666666666
